priority,match_status,company_name,country,company_status,owner_source,owner_index,investment_firm,owner_status,ownership_vehicle,investment_year,exact_fund_name,suggested_fund_name,candidate_score,suggested_action,rationale,evidence_urls
review,named_vehicle_missing_from_funds,Aligned Data Centers,United States,Active,owners[],0,Macquarie Asset Management,Active,MIP IV / MIP V and related vehicles,2018,,,0.329,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Macquarie MGECO"" (0.329).",https://aligneddc.com/press-release/ai-infrastructure-partnership-aip-mgx-and-blackrocks-global-infrastructure-partners-gip-to-acquire-all-equity-in-aligned-data-centers/; https://www.macquarie.com/au/en/about/news/2025/macquarie-asset-management-to-lead-sale-of-aligned-data-centers-at-an-enterprise-value-of-us-40-billion.html; https://aligneddc.com/blog/mubadala-invests-in-aligned-data-centers/; https://aligneddc.com/press-release/aligned-energy-announces-new-strategic-investment-by-macquarie-infrastructure-partners/
review,named_vehicle_missing_from_funds,AlohaNAP,United States,Active,owners[],0,Harrison Street,Active,Harrison Street Digital Fund,2024,,,0.727,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Harrison Street Social Infrastructure Fund"" (0.727).",https://harrisonst.com/harrison-street-and-fifteenfortyseven-critical-systems-realty-acquire-strategically-located-carrier-hotel-data-center-in-hawaii-announce-expansion-plans/; https://www.1547realty.com/data-center/kapolei-hi-haii1/; https://www.datacenterdynamics.com/en/news/harrison-street-and-fifteenfortyseven-acquire-data-center-in-hawaii-announce-expansion-plans/; https://www.1547realty.com/video/alohanap-data-center-at-a-glance/
review,named_vehicle_missing_from_funds,Alpha Generation (AlphaGen),United States,Active,owners[],0,ArcLight Capital Partners,Active,ArcLight Energy Partners Fund VII,2024,,,0.746,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""ArcLight Infrastructure Partners Fund VIII"" (0.746).",https://www.prnewswire.com/news-releases/arclight-creates-alphagen-to-manage-one-of-the-largest-power-infrastructure-portfolios-in-the-united-states-302031341.html; https://www.alphagen.com/; https://arclight.com/portfolio-services/
review,named_vehicle_missing_from_funds,Altius Renewable Royalties Corp.,Canada / United States,Active,owners[],0,Northampton,Active,Royal Aggregator LP,2024,,,0.354,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Northampton Flagship Fund Complex"" (0.354).",https://altiusminerals.com/investor-information/press-releases/altius-reports-arr-transaction-with-northampton; https://www.arr.energy/news/altius-renewable-royalties-corp-announces-completion-of-plan-of-arrangement-with-northampton; https://www.arr.energy/team/1000; https://www.arr.energy/_resources/presentations/2024-09-ARR-Transaction-v1FINAL1.pdf?v=092808
review,named_vehicle_missing_from_funds,Amadeus Wind Project,United States,Active,owners[],0,Fengate Asset Management,Active,Fengate Core Infrastructure Fund III,2020,,,0.840,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Fengate Infrastructure Fund IV"" (0.840).",https://fengate.com/news/fengate-announces-structured-equity-investment-in-250-megawatt-wind-project; https://www.prnewswire.com/news-releases/fengate-announces-structured-equity-investment-in-250-megawatt-wind-project-301196847.html; https://www.baywa-re.com/en/news/baywa-re-completes-construction-of-250-mw-wind-farm; https://www.power-technology.com/data-insights/power-plant-profile-amadeus-wind-farm-us/
review,named_vehicle_missing_from_funds,Ambient Photonics,United States,Active,owners[],0,I Squared Capital,Active,ISQ Global InfraTech Fund,2022,,,0.752,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""ISQ Global Infrastructure Fund IV"" (0.752).",https://ambientphotonics.com/press-release/ambient-31-million-series-a-financing-co-led-by-amazon-and-eif; https://ambientphotonics.com/; https://ambientphotonics.com/ambient-photonics-opens-u-s-manufacturing-facility-for-low-light-indoor-solar-cells/
review,named_vehicle_missing_from_funds,American Campus Communities (ACC) ASU P3 Portfolio,United States,Active,owners[],0,Harrison Street,Active,Social Infrastructure Fund,2021,,,0.808,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""3i NA Infrastructure Fund"" (0.808).",https://www.nasdaq.com/press-release/american-campus-communities-announces-capital-recycling-activity-via-joint-venture; https://www.multihousingnews.com/harrison-street-buys-ownership-in-arizona-student-housing-portfolio/; https://harrisonst.com/american-campus-communities-forms-jv-with-harrison-streets-social-infrastructure-platform/
review,named_vehicle_missing_from_funds,Amp Energy,Canada,Active,owners[],0,Carlyle Infrastructure,Active,Carlyle Global Infrastructure Opportunity Fund / Renewable & Sustainable Energy Fund,2021,,,0.748,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Carlyle Renewable & Sustainable Energy Fund"" (0.748).",https://www.carlyle.com/media-room/news-release-archive/carlyle-makes-commitment-to-amp-energy; https://www.amp.energy/news/amp-energy-and-distributed-sun-partner-on-over-100-million-of-ny-community-solar-projects; https://www.amp.energy/hubfs/Sustainability/Amp%20Energy%20Sustainability%20Report%202021.pdf?hsLang=en; https://www.carlyle.com/media-room/news-release-archive/revera-launches-independent-energy-infrastructure-platform-backed
review,named_vehicle_missing_from_funds,Appalachian State University Innovation District Energy System,United States,Active,owners[],0,Harrison Street,Active,Social Infrastructure Fund,2023,,,0.808,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""3i NA Infrastructure Fund"" (0.808).",https://www.appstate.edu/appalachians-future/building-physical-infrastructure/innovation-district-energy-system/; https://radnorproperty.com/projects/appalachian-state-university-the-innovation-district/; https://www.northcarolina.edu/apps/bog/doc.php?code=bog&id=67244; https://www.appstate.edu/appalachians-future/building-physical-infrastructure/innovation/
review,named_vehicle_missing_from_funds,Atlantic Aviation,United States,Active,owners[],0,KKR,Active,KKR Global Infrastructure Investors IV,2021,,,0.840,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""KKR Global Infrastructure Investors V"" (0.840).",https://www.nasdaq.com/press-release/mic-announces-closing-of-sale-of-atlantic-aviation-record-date-for-distribution-of; https://www.atlanticaviation.com/; https://www.atlanticaviation.com/about-us/; https://www.businesswire.com/news/home/20210607005386/en/Macquarie-Infrastructure-Corporation-Announces-Agreement-to-Sell-Atlantic-Aviation-to-KKR-for-%244.475-Billion
review,named_vehicle_missing_from_funds,Avports,United States,Active,owners[],0,Goldman Sachs Asset Management,Active,West Street Infrastructure Partners III,2018,,,0.769,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Macquarie Infrastructure Partners III"" (0.769).",https://forosgroup.com/press_release/aviation-facilities-company-inc-and-afco-avports-management-llc-to-be-acquired-by-infrastructure-investment-funds-managed-by-goldman-sachs-merchant-banking-division/; https://www.avports.com/; https://www.avports.com/about/; https://aviationfacilities.com/afco-and-avports-add-former-american-airlines-exec-to-board/
review,named_vehicle_missing_from_funds,Bildmore Clean Energy,United States,Active,owners[],0,EnCap Investments,Active,EnCap Energy Transition Fund II,2024,,,0.576,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Ara Energy Decarbonization Fund I"" (0.576).",https://www.encapinvestments.com/news/renewable-energy-development-backer-encap-energy-transition-enters-tax-credit-finance-space; https://www.encapinvestments.com/about/energy-transition/portfolio/current/bildmore-clean-energy; https://bildmore.com/; https://www.kirkland.com/news/press-release/2025/03/kirkland-advises-bildmore-clean-energy-on-53-million-preferred-equity-commitment-with-peregrine-es
review,named_vehicle_missing_from_funds,BKV-CIP Joint Venture,United States,Active,owners[],0,Copenhagen Infrastructure Partners,Active,Energy Transition Fund I,2025,,,0.667,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""GIP Transition Fund"" (0.667).",https://ir.bkv.com/news-events/latest-news/detail/208/bkv-and-copenhagen-infrastructure-partners-announce-strategic-carbon-capture-joint-venture-with-500-million-investment; https://ir.bkv.com/financial-info/sec-filings/content/0001628280-25-024150/bkv-20250331.htm; https://ir.bkv.com/news-events/latest-news/detail/212/bkv-corporation-reports-second-quarter-2025-financial-and-operational-results-updated-2025-guidance-strategic-barnett-shale-acquisition-and-carbon-sequestered-gas-deal
review,named_vehicle_missing_from_funds,Boingo Wireless,United States,Active,owners[],0,DigitalBridge,Active,DigitalBridge Partners II,2021,,,0.738,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""DigitalBridge Fund III"" (0.738).",https://www.boingo.com/press-releases/digital-colony-completes-acquisition-of-boingo-wireless/; https://www.boingo.com/; https://www.digitalbridge.com/portfolio/boingo-wireless
review,named_vehicle_missing_from_funds,Bold Ocean / Schuyler Line Navigation,United States,Active,owners[],0,J.P. Morgan Asset Management,Active,Global Transport Income Fund (GTIF),2024,,,0.512,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Global Diversified Infrastructure Fund (GDIF)"" (0.512).",https://www.novainfrastructure.com/nova-completes-sale-of-bold-ocean; https://maritime-executive.com/corporate/bold-ocean-acquired-by-institutional-investors-advised-by-j-p-morgan; https://www.boldocean.com/; https://www.boldocean.com/about/
review,named_vehicle_missing_from_funds,Capstone Infrastructure Corporation,United States / Canada,Active,owners[],0,iCON Infrastructure,Active,iCON Infrastructure Partners III,2016,,,0.795,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""iCON Infrastructure Fund VII"" (0.795).",https://www.globenewswire.com/news-release/2016/01/20/996340/0/en/Capstone-Infrastructure-Enters-into-Agreement-for-iCON-Infrastructure-Partners-III-to-Acquire-all-of-the-Common-Shares-of-Capstone-for-4-90-in-Cash-per-Share.html; https://www.globenewswire.com/news-release/2016/04/29/996349/0/en/Capstone-Infrastructure-Plan-of-Arrangement-With-iCON-Infrastructure-Reaches-Successful-Completion.html; https://capstoneinfrastructure.com/; https://capstoneinfrastructure.com/about
review,named_vehicle_missing_from_funds,Cartier Energy Holding,United States,Active,owners[],0,Vauban,Active,Cartier Energy Fund SCS; Cartier Energy Fund II SCS,2022,,,0.440,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Tiger Infrastructure Partners Fund II"" (0.440).",https://vauban-ip.com/en/assets; https://www.prnewswire.com/news-releases/adam-schiff-is-appointed-ceo-of-cartier-energy-holding-a-vauban-infrastructure-partners-investment-funds-owned-company-301593623.html; https://www.districtenergy.org/membership-services/member-directory/findacompany/companyprofile?UserKey=fa8e75c4-2b14-4d66-b9d6-51ea1557e476; https://vauban-ip.com/_assets/showcase-container/82e28051-cce9-45fd-8819-c321c9e053cf_Vauban-IP-Sustainability-report-2022-web.pdf
review,named_vehicle_missing_from_funds,Catalyze,United States,Active,owners[],0,Actis,Active,Actis Energy 5,2023,,,0.375,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Antin Fund III-B"" (0.375).",https://www.act.is/2023/02/28/actis-and-encap-invest-in-us-solar-platform-catalyze/; https://www.encapinvestments.com/about/energy-transition/portfolio/current/catalyze; https://catalyze.com/2026/01/26/catalyze-closes-100-mw-distributed-solar-tax-equity-financing-with-rbc/; https://www.encapinvestments.com/news/catalyze-acquires-permacity-advances-market-consolidation-strategy
review,named_vehicle_missing_from_funds,CheckSammy,United States,Active,owners[],0,I Squared Capital,Active,ISQ Global InfraTech Fund,2024,,,0.752,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""ISQ Global Infrastructure Fund IV"" (0.752).",https://www.prnewswire.com/news-releases/checksammy-secures-45m-strategic-investment-to-expand-waste-diversion-from-landfills-302043315.html; https://www.checksammy.com/; https://www.checksammy.com/about-us/
review,named_vehicle_missing_from_funds,Chicago CBD Data Center (CHIL2),United States,Active,owners[],0,Harrison Street,Active,Harrison Street Digital Fund,2021,,,0.727,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Harrison Street Social Infrastructure Fund"" (0.727).",https://www.1547realty.com/data-center/chicago-il-chil2/; https://www.1547realty.com/; https://harrisonst.com/exclusive-harrison-street-and-fifteenfortyseven-acquire-four-data-center-facilities-in-u-s/
review,named_vehicle_missing_from_funds,Cirba Solutions,United States,Active,owners[],0,EQT Infrastructure,Active,EQT Infrastructure V,2022,,,0.850,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""DIF Infrastructure V"" (0.850).",https://www.cirbasolutions.com/cirba-solutions-secures-over-200-million-investment-to-grow/; https://www.cirbasolutions.com/; https://eqtgroup.com/about/current-portfolio/cirba-solutions
review,named_vehicle_missing_from_funds,ClearCurrent,United States,Active,owners[],0,Bernhard Capital Partners,Active,BCP Infrastructure Fund I,2021,,,0.880,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Ara Infrastructure Fund I"" (0.880).",https://www.bernhardcapital.com/portfolio-items/clearcurrent/; https://clearcurrent.com/; https://www.bernhardcapital.com/wp-content/uploads/2025/11/BCP_ESGReport_24_102025.pdf
review,named_vehicle_missing_from_funds,Commonwealth LNG,United States,Active,owners[],0,Mubadala,Active,Caturus / SoTex HoldCo,2025,,,0.300,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""Macquarie MGECO"" (0.300).",https://www.caturus.com/news/caturus-and-kimmeridge-announce-partnership-with-mubadala-energy/; https://commonwealthlng.com/kimmeridge-closes-strategic-equity-investment-from-mubadala-energy-and-rebrands-integrated-natural-gas-platform-as-caturus/; https://commonwealthlng.com/; https://www.energy.gov/fecm/articles/doe-receives-notice-change-control-commonwealth-lng-project
review,named_vehicle_missing_from_funds,CoolCo (Cincinnati District Energy),United States,Active,owners[],0,Harrison Street,Active,Infrastructure Fund,2019,,,0.760,"Review whether to add this fund to prisma/seed-data/funds.ts, add an alias, or correct the ownershipVehicle.","The vehicle looks like a named fund but does not exactly match fundName. Nearest candidate is ""3i NA Infrastructure Fund"" (0.760).",https://harrisonst.com/harrison-street-acquires-28-mw-cincinnati-solar-project/; https://coolco.com/; https://coolco.com/about-us/; https://coolco.com/chilled-water-services/
