recordId,ownershipPeriodId,companyName,country,investmentFirm,currentVehicleName,databaseVehicleName,investmentYear,stake,attribution,confidence,attributedFundName,disclosedOrEstimatedFundName,currentLinkedFundName,linkedCanonicalFundName,targetLinkedFundName,rationale,evidenceUrls,sourceAuditStatus,applyEligible,proposedAction,fundDatabaseAction
OFA-077A53B0E54F,cmrxpkal702a9ivhelai9e69v,11:11 Systems,United States,Tiger Infrastructure Partners,Tiger Infrastructure Partners Fund III,Tiger Infrastructure Partners Fund III,2021,,DISCLOSED,HIGH,Tiger Infrastructure Partners Fund III,Tiger Infrastructure Partners Fund III,Tiger Infrastructure Partners Fund III,Tiger Infrastructure Partners Fund III,Tiger Infrastructure Partners Fund III,Matched supplemental ownership detail: Firm: Tiger Infrastructure Partners | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Seed milestones or source evidence explicitly name the current fund vehicle.,https://www.prnewswire.com/news-releases/tiger-infrastructure-announces-investment-in-1111-systems-301382251.html; https://www.prnewswire.com/news-releases/tiger-infrastructure-partners-fund-iii-closes-at-1-25-billion-hard-cap-reflecting-investor-demand-for-its-innovative-growth-capital-strategy-301531549.html; https://www.globenewswire.com/news-release/2026/01/08/3215407/0/en/11-11-Systems-Successfully-Completes-Acquisition-of-Ntirety.html; https://1111systems.com/; https://1111systems.com/why-1111/overview/,Verified fund,true,SET_DISCLOSED_LINKED,NONE
OFA-16D2D0FA08AF,cmrxpk2m501xuivhevzrsvzj4,123NET,United States,Grain Management,n.a.,n.a.,2024,,INFERRED,MEDIUM,Grain GCOF III,Grain GCOF III,Grain GCOF III,Grain GCOF III,Grain GCOF III,"Estimated by preserving the existing curated link to Grain GCOF III; public disclosure does not identify a distinct fund. Ranked evidence considered manager match 1.00, vintage 2021 is 3 years before investment, North America-relevant mandate.",https://graingp.com/news/grain-management-invests-in-leading-michigan-based-telecom-provider-123net/; https://www.123.net/news/grain-management-and-123net-complete-investment-transaction/; https://www.bankstreet.com/transactions/123-net-has-entered-into-a-definitive-agreement-to-receive-a-majority-investment-from-grain-management/,n.a.,false,SET_INFERRED,NONE
OFA-02AD7C5ADE08,cmrxpk5l8022civhep7fmqbfj,38 Degrees North,United States,Kimmeridge,Kimmeridge Carbon Solutions,Kimmeridge Carbon Solutions,2025,,DISCLOSED,HIGH,Kimmeridge Carbon Solutions,Kimmeridge Carbon Solutions,,,,Matched supplemental ownership detail: Firm: Kimmeridge | Fund: Kimmeridge Carbon Solutions | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.,https://www.prnewswire.com/news-releases/38-degrees-north-announces-over-230-million-of-corporate-growth-capital-raised-and-welcomes-new-equity-investors-climate-adaptive-infrastructure-and-kimmeridge-302507588.html; https://www.foley.com/news/2025/07/kimmeridge-sale-us-light-energy-growth-equity-38-degrees-north/; https://www.38degreesn.com/; https://www.38degreesn.com/team,Verified fund - missing from funds list,false,SET_DISCLOSED_UNLISTED,REVIEW_ALIAS_OR_SIZE_GATED_ADDITION
OFA-4C4D124A3E4D,cmrxpjx5d01pcivhejo8qz5ky,400 Paul Avenue Data Center,United States,CIM Group,CIM Group / 1547 CSR JV,CIM Group / 1547 CSR JV,2017,,INFERRED,MEDIUM,CIM Infrastructure Fund II,CIM Infrastructure Fund II,,CIM Infrastructure Fund II,,"Estimated from manager match 1.00, vehicle-name overlap 0.25, vintage 2016 is 1 years before investment, North America-relevant mandate, historical vehicle retained for attribution only; next candidate trails by 21.0 points. Public disclosure does not identify a distinct fund.",https://www.datacenterdynamics.com/en/news/1547-and-cim-are-planning-a-data-center-in-san-francisco/; https://www.cimgroup.com/press-releases/cim-group-and-fifteenfortyseven-critical-systems-realty-begin-construction-of-bay-area-data-center-campus; https://www.datacenterdynamics.com/en/news/cim-group-offering-24mw-data-center-for-lease-in-san-francisco/; https://baxtel.com/data-center/400-paul-ave-1547; https://www.sec.gov/Archives/edgar/data/1660051/000166005116000001/xslFormDX07/primary_doc.xml,Disclosed but generic,false,SET_INFERRED,NONE
OFA-E33B9918EBC6,cmrxpjxv501qeivheqnfjbtlb,407 ETR,Canada,CPP Investments,Real Assets (Infrastructure),Real Assets (Infrastructure),2010,,DISCLOSED,HIGH,Real Assets (Infrastructure),Real Assets (Infrastructure),,,,Matched supplemental ownership detail: Firm: CPP Investments and other institutional investors | Fund: Real Assets (Infrastructure) | Ownership Interest: 44.20% Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.,https://www.newswire.ca/news-releases/cppib-increases-investment-in-407-international-inc--879428070.html; https://newsroom.407etr.com/2025-10-01-700-Million-of-Medium-Term-Notes-Issued-by-407-International-Inc; https://www.investpsp.com/en/news/psp-investments-joins-cpp-investments-and-ferrovial-in-407-etr-ownership-group/; https://www.407etr.com/en/investors; https://www.cppinvestments.com/newsroom/psp-investments-and-cpp-investments-complete-407-etr-transactions/,Verified fund - missing from funds list,false,SET_DISCLOSED_UNLISTED,REVIEW_ALIAS_OR_SIZE_GATED_ADDITION
OFA-77F5B8A76A79,cmrxpjsnz01i1ivhe5kjzscrr,527 Renewables Holdings LLC,United States,Axium Infrastructure,Axium Managed Funds,Axium Managed Funds,2022,,INFERRED,LOW,AxInfra Fund I-IV,AxInfra Fund I-IV,AxInfra Fund I-IV,AxInfra Fund I-IV,AxInfra Fund I-IV,"Estimated by preserving the existing curated link to AxInfra Fund I-IV; public disclosure does not identify a distinct fund. Ranked evidence considered manager match 1.00, evergreen/permanent-capital vehicle, North America-relevant mandate.",https://www.axiuminfra.com/2022/02/02/february-2-2022-axium-infrastructure-acquires-a-diversified-portfolio-of-renewable-energy-assets/?lang=en; https://www.constellation.com/; https://www.axiuminfra.com/portfolio-assets/?lang=en; https://www.axiuminfra.com/wp-content/uploads/2022/02/Axium_Press-Release_CRP-Investment.pdf,Disclosed but generic,false,SET_INFERRED,NONE
OFA-1FFE7EFAAD11,cmrxpk2mn01xvivhek4spcjcp,55 Hereford Street,Canada,Grain Management,n.a.,n.a.,2023,,INFERRED,MEDIUM,Grain GCOF III,Grain GCOF III,Grain GCOF III,Grain GCOF III,Grain GCOF III,"Estimated by preserving the existing curated link to Grain GCOF III; public disclosure does not identify a distinct fund. Ranked evidence considered manager match 1.00, vintage 2021 is 2 years before investment, North America-relevant mandate.",https://www.prnewswire.com/news-releases/grain-management-acquires-majority-stake-in-toronto-data-center-in-partnership-with-stratcap-301852200.html; https://55hdc.com/; https://www.milbank.com/en/news/milbank-advises-grain-management-on-its-joint-venture-with-stratcap-to-acquire-majority-stake-in-toronto-data-center.html; https://www.datacenterdynamics.com/en/news/grain-stratcap-acquire-former-loblaw-data-center-in-canada/,n.a.,false,SET_INFERRED,NONE
OFA-4C32A9F6D22B,cmrxpjv4701m2ivhea5l9ji91,5C Group / Hypertec Cloud,United States / Canada,Brookfield,n.a.,n.a.,2025,,INFERRED,LOW,Brookfield BIF V,Brookfield BIF V,Brookfield BIF V,Brookfield BIF V,Brookfield BIF V,"Estimated by preserving the existing curated link to Brookfield BIF V; public disclosure does not identify a distinct fund. Ranked evidence considered manager match 1.00, vintage 2022 is 3 years before investment, North America-relevant mandate.",https://5c.ai/news/5c-group-secures-835-million-of-capital-from-brookfield-and-deutsche-bank; https://privatewealth.brookfield.com/sites/default/files/funds/tender-offer-funds/financial-reports/brookfield-infrastructure-income-fund-annual-report.pdf; https://5c.ai/news/mila-5c-and-hypertec-announce-250-million-lasalle-campus-and-sovereign-ai-research-hub-to-strengthen-canadas-role-as-a-global-leader-in-ai-innovation,n.a.,false,SET_INFERRED,NONE
OFA-1C59D84AF84C,cmrxpjwr801opivhe6jxreack,A25 Concession,Canada,La Caisse de dépôt (CDPQ),n.a.,n.a.,2023,50%,DISCLOSED,HIGH,CDPQ Infrastructure,CDPQ Infrastructure,CDPQ Infrastructure,CDPQ Infrastructure,CDPQ Infrastructure,Matched supplemental ownership detail: Firm: CDPQ | Fund: CDPQ Infrastructure | Ownership Interest: 50% Verified fund matches an existing fund-list entry.,https://www.lacaisse.com/en/news/pressreleases/cdpq-acquires-50-montreals-a25-concession-transurban; https://www.mccarthy.ca/en/experience/cdpq-acquires-a-50-interest-in-the-a25-concession-from-transurban-for-c-355m; https://a25.com/en/; https://www.mccarthy.ca/en/insights/blogs/canadian-energy-perspectives/transurban-closes-sale-half-interest-a25-toll-road-cdpq,Verified fund,true,SET_DISCLOSED_LINKED,NONE
OFA-4EADABC2E7FE,cmrxpk1t401wnivhe9e6enlfc,ACES Delta,United States,GIC,GIC Infrastructure (Equity Syndication Consortium),GIC Infrastructure (Equity Syndication Consortium),2022,,INFERRED,MEDIUM,GIC Infrastructure,GIC Infrastructure,GIC Infrastructure,GIC Infrastructure,GIC Infrastructure,"Estimated by preserving the existing curated link to GIC Infrastructure; public disclosure does not identify a distinct fund. Ranked evidence considered manager match 1.00, vehicle-name overlap 0.25, evergreen/permanent-capital vehicle, North America-relevant mandate.",https://www.otpp.com/en-ca/about-us/news-and-insights/2022/haddington-ventures-announces--650-million-equity-syndication-pr/; https://hvllc.com/haddingtonesp/; https://www.aimco.ca/insights/worlds-largest-green-hydrogen-platform; https://www.energy.gov/edf/advanced-clean-energy-storage; https://aces-delta.com/media/us-doe-closes-504-4-million-loan-to-advanced-clean-energy-storage-project-for-hydrogen-production-and-storage/,Disclosed but generic,false,SET_INFERRED,NONE
OFA-D3F918E53B39,cmrxpk1w401woivhexnk76vjb,ACES Delta,United States,OTPP,"Haddington ESP I, LP","Haddington ESP I, LP",2022,,DISCLOSED,HIGH,"Haddington ESP I, LP","Haddington ESP I, LP",,,,"Matched supplemental ownership detail: Firm: Ontario Teachers' Pension Plan Board | Fund: Haddington ESP I, LP | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.",https://www.otpp.com/en-ca/about-us/news-and-insights/2022/haddington-ventures-announces--650-million-equity-syndication-pr/; https://hvllc.com/haddingtonesp/; https://www.aimco.ca/insights/worlds-largest-green-hydrogen-platform; https://aces-delta.com/; https://www.energy.gov/edf/advanced-clean-energy-storage,Verified fund - missing from funds list,false,SET_DISCLOSED_UNLISTED,REVIEW_ALIAS_OR_SIZE_GATED_ADDITION
OFA-D71EF5F9865A,cmrxpk1wo01wpivheefqe4thd,ACES Delta,United States,AIMCo,"Haddington ESP I, LP","Haddington ESP I, LP",2022,,DISCLOSED,HIGH,"Haddington ESP I, LP","Haddington ESP I, LP",,,,"Matched supplemental ownership detail: Firm: AIMCo | Fund: Haddington ESP I, LP | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.",https://www.otpp.com/en-ca/about-us/news-and-insights/2022/haddington-ventures-announces--650-million-equity-syndication-pr/; https://hvllc.com/haddingtonesp/; https://www.aimco.ca/insights/worlds-largest-green-hydrogen-platform; https://aces-delta.com/; https://www.energy.gov/edf/advanced-clean-energy-storage,Verified fund - missing from funds list,false,SET_DISCLOSED_UNLISTED,REVIEW_ALIAS_OR_SIZE_GATED_ADDITION
OFA-240C8AB30E8E,cmsy0inue000fbv6hkwmd4l24,ACL Airshop,United States,Astatine Investment Partners,Alinda Infrastructure Fund IV,,2021,100% disclosed in January 2023; current percentage not subsequently restated,DISCLOSED,HIGH,Alinda Infrastructure Fund IV,Alinda Infrastructure Fund IV,Alinda Infrastructure Fund IV,Alinda Infrastructure Fund IV,Alinda Infrastructure Fund IV,Seed milestones or source evidence explicitly name the current fund vehicle.,https://astatineip.com/2026/03/04/acl-airshop-announces-the-promotion-of-james-harris-to-chief-executive-officer/; https://astatineip.com/2021/04/22/alinda-acquires-acl-airshop/; https://www.prnewswire.com/news-releases/acl-airshop-and-alinda-partner-for-growth-301275577.html,Verified fund,true,SET_DISCLOSED_LINKED,NONE
OFA-2CC32E02859A,cmrxpk5ol022iivhesikvam2n,AEP Transmission Company,United States,KKR,KKR Core Infrastructure,KKR Core Infrastructure,2025,,DISCLOSED,HIGH,KKR Core Infrastructure,KKR Core Infrastructure,,,,Matched supplemental ownership detail: Firm: KKR | Fund: KKR Core Infrastructure | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.,https://www.investpsp.com/en/news/kkr-and-psp-investments-acquire-minority-stake-in-two-american-electric-power-transmission-companies/; https://www.aep.com/news/stories/view/10263/; https://www.kkr.com/deals/aep-transmission; https://www.aep.com/news/stories/view/9948/,Verified fund - missing from funds list,false,SET_DISCLOSED_UNLISTED,REVIEW_ALIAS_OR_SIZE_GATED_ADDITION
OFA-875F9E1DD2C7,cmrxpjpgo01cvivhedl1kjmty,AES Clean Energy,United States,AIMCo,n.a.,n.a.,2020,,INFERRED,LOW,AIMCo Direct Infrastructure Investment,AIMCo Direct Infrastructure Investment,AIMCo Direct Infrastructure Investment,AIMCo Direct Infrastructure Investment,AIMCo Direct Infrastructure Investment,"Estimated by preserving the existing curated link to AIMCo Direct Infrastructure Investment; public disclosure does not identify a distinct fund. Ranked evidence considered manager match 1.00, evergreen/permanent-capital vehicle, North America-relevant mandate.",https://www.aimco.ca/insights/aes-and-aimco-to-form-leading-renewables-platform; https://www.communityenergyinc.com/news/aes-acquires-us-renewables-developer-community-energy-adding-10-gw-of-renewable-projects-to-growth-pipeline; https://www.aes.com/about-us; https://www.aimco.ca/what-we-do/asset-classes/infrastructure-renewable-resources/; https://www.aes.com/newsroom/aes-us-based-clean-energy-unit-secures-optimized-funding-construction-2-gw-clean-energy,n.a.,false,SET_INFERRED,NONE
OFA-25A479640B61,cmrxpkaz802avivhe6koyk6rh,AES Clean Energy OpCo A,United States,Ullico,UIF,UIF,2018,,DISCLOSED,HIGH,UIF,UIF,,,,Matched supplemental ownership detail: Firm: Ullico | Fund: UIF | Ownership Interest: 24% Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.,https://www.utilitydive.com/news/investment-firm-ullico-buys-24-stake-in-13-gw-renewables-portfolio/541604/; https://www.ullico.com/uif-portfolio/; https://www.windpowerengineering.com/ullico-invests-in-wind-and-solar-projects/; https://www.ullico.com/products/ullico-infrastructure-fund/,Verified fund - missing from funds list,false,SET_DISCLOSED_UNLISTED,REVIEW_ALIAS_OR_SIZE_GATED_ADDITION
OFA-B888436B2291,cmrxpjwrp01oqivheyn1maei5,AES Indiana,United States,La Caisse de dépôt (CDPQ),n.a.,n.a.,2015,Approximately 30% direct and indirect interest in IPALCO,DISCLOSED,HIGH,CDPQ Infrastructure,CDPQ Infrastructure,CDPQ Infrastructure,CDPQ Infrastructure,CDPQ Infrastructure,Matched supplemental ownership detail: Firm: CDPQ | Fund: CDPQ Infrastructure | Ownership Interest: 30% Verified fund matches an existing fund-list entry.,https://www.aes.com/sites/vault/files/2026-03/AES-Corp-2025-Annual-Report-03-20-2026.pdf; https://www.sec.gov/Archives/edgar/data/728391/000072839116000035/ipalco10k20151231.htm; https://www.lacaisse.com/en/news/pressreleases/aes-announces-strategic-partnership-cdpq-support-aes-ohios-robust-growth-plans; https://www.aesindiana.com/,Verified fund,true,SET_DISCLOSED_LINKED,NONE
