"requestedManager","canonicalManager","fundName","vehicleType","lifecycle","northAmericaBasis","currentHoldingName","vintage","strategies","structure","fundStatus","size","sizeBasis","repoDisposition","matchedLegacyIds","changedFields","confidence"
"3i Infrastructure","3i Group","3i Infrastructure plc","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","EXPLICIT_NA_MANDATE","","Evergreen","Core-Plus","Listed / Evergreen","Evergreen","£3.071B AUM","AUM","PROPOSED_CORRECTION","FUND-001","investmentStrategy | size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | regions | sourceUrls | strategyUrl","MEDIUM"
"3i Infrastructure","3i Group","3i North American Infrastructure Fund","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2022","Core-Plus","Closed-End","Financial Close","$739M final commitments","COMMITMENTS","PROPOSED_CORRECTION","FUND-002","fundName | investmentStrategy | size | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sectors | sourceUrls | strategyUrl","HIGH"
"3i Infrastructure","3i Group","North American Infrastructure proprietary capital","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Smarte Group (formerly Smarte Carte)","2017","Core-Plus | Value-Add","Permanent Capital","Evergreen","£301M AUM","AUM","PROPOSED_NEW","","","MEDIUM"
"ADIA Infrastructure","Abu Dhabi Investment Authority (ADIA)","Infrastructure Department","PROGRAM_EXCEPTION","EVERGREEN_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Sempra Infrastructure Partners","Evergreen","Core","Permanent Capital","Evergreen","—","","PROPOSED_CORRECTION","FUND-003","fundName | regions","MEDIUM"
"Amber Infrastructure","Amber Infrastructure Group","International Public Partnerships (INPP)","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","Evergreen","Core","Listed / Evergreen","Evergreen","£2.7B NAV","AUM","PROPOSED_CORRECTION","FUND-005","size | sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | regions","HIGH"
"Amber Infrastructure","Amber Infrastructure Group","US Solar Fund plc","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2019","Core | Greenfield","Listed / Closed-End","Evergreen","$190.0M audited NAV","AUM","PROPOSED_NEW","","","HIGH"
"Ancala Partners","Ancala Partners","Ancala Infrastructure Fund III","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","Phoenix Rail (Lehigh Valley Rail Management)","2022","Core-Plus","Closed-End","Financial Close","€1.4B","COMMITMENTS","NEEDS_REVIEW","FUND-006","sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sectors | regions | sourceUrls","MEDIUM"
"Antin Infrastructure Partners","Antin Infrastructure Partners","Antin Flagship Fund III","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","FirstLight Fiber","2016","Value-Add","Closed-End","Financial Close","€3.6B","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-006A","sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sourceUrls | strategyUrl","HIGH"
"Antin Infrastructure Partners","Antin Infrastructure Partners","Antin Fund III-B","NAMED_FUND","CLOSED_ACTIVE","VERIFIED_CURRENT_NA_HOLDING","FirstLight Fiber","2020","Value-Add","Closed-End","Financial Close","€1.2B","COMMITMENTS","PROPOSED_CORRECTION","FUND-006B","sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sourceUrls | strategyUrl","HIGH"
"Antin Infrastructure Partners","Antin Infrastructure Partners","Antin Flagship Fund IV","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2019","Value-Add","Closed-End","Financial Close","€6.5B","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-006C","sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sourceUrls | strategyUrl","HIGH"
"Antin Infrastructure Partners","Antin Infrastructure Partners","Antin Flagship Fund V","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2022","Value-Add","Closed-End","Financial Close","€10.2B","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-007","sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sourceUrls | strategyUrl","HIGH"
"Antin Infrastructure Partners","Antin Infrastructure Partners","Antin Mid Cap Fund I","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2021","Value-Add","Closed-End","Financial Close","€2.2B","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-008","sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | sectors | sourceUrls | strategyUrl","HIGH"
"Antin Infrastructure Partners","Antin Infrastructure Partners","Antin NextGen Fund I","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2021","Growth","Closed-End","Financial Close","€1.2B","FINAL_CLOSE","PROPOSED_CORRECTION","FUND-009","sizeUsdMm | sizeNativeCurrency | sizeNativeAmount | sizeBasis | sizeAsOf | strategies | sectors | sourceUrls | strategyUrl","HIGH"
"Antin Infrastructure Partners","Antin Infrastructure Partners","Antin Mid Cap Fund II","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","","2026","Value-Add","Closed-End","Raising","€2.5B target","TARGET","PROPOSED_NEW","","","MEDIUM"
"APG Infrastructure","APG Asset Management","APG Infrastructure Pool 2011","NAMED_FUND","CLOSED_ACTIVE","EXPLICIT_NA_MANDATE","","2011","Core","Closed-End","Financial Close","Undisclosed","","PROPOSED_NEW","","","HIGH"
