auditId,sourceLine,company,country,ownerIndex,investmentFirm,ownershipVehicle,ownerInvestmentYear,topLevelInvestmentYear,exitYear,status,dateBasis,priority,flags,evidenceMilestones,earlierSignals,sourceUrls,proposedYear,evidenceUrl,reviewerNotes
amwaste-llc__owner-1__3i-infrastructure,5,Amwaste LLC,United States,1,3i Infrastructure,3i North American Infrastructure Fund,2023,2023,,Active,close,none,,2023 | Acquisition | Acquired the Whitestone Valley C&D Landfill and four transfer stations from Cash Environmental Resources. || Jul 2023 | Financing | 3i North American Infrastructure Fund completed its growth-capital investment in Amwaste.,,https://amwasteusa.com | https://www.3i.com/infrastructure/our-portfolio/amwaste/ | https://www.wastedive.com/news/amwaste-chip-russell-3i-north-american-infrastructure-investment/690067/ | https://www.wastetodaymagazine.com/news/amwaste-acquires-waste-away-environmental/,,,
ec-waste__owner-1__3i-infrastructure,36,EC Waste,United States,1,3i Infrastructure,3i North American Infrastructure Fund,2021,2021,,Active,close,none,,Nov 2021 | Acquisition | 3i acquired a majority stake in EC Waste through the 3i North American Infrastructure Fund.,,https://www.ecwaste.com | https://www.3i.com/media/news/2021/3i-partners-with-ec-waste-to-support-the-company-s-growth/ | https://www.3i.com/media/news/2025/3i-backed-ec-waste-acquires-arb-waste-services-in-puerto-rico/ | https://www.postcp.com/article?ID=528966,,,
regional-rail-llc__owner-1__3i-infrastructure,67,"Regional Rail, LLC",United States,1,3i Infrastructure,3i North American Infrastructure Fund,2019,2019,,Active,close_unattributed,none,,Oct 2019 | Acquisition | Acquired Pinsly Railroad Company's Florida operations. || Apr 2019 | Acquisition | 3i announced its agreement to acquire 100% of Regional Rail. || Jul 2019 | Acquisition | 3i invested in Regional Rail after announcing its agreement to acquire the company.,,https://regional-rail.com/ | https://www.3i.com/infrastructure/our-portfolio/regional-rail/ | https://www.3i.com/media/news/2019/3i-agrees-to-invest-in-regional-rail-to-support-growth/ | https://www.3i.com/media/news/2019/regional-rail-expands-its-geographic-footprint-through-acquisition-of-pinsly-railroad-company-s-florida-operations/ | https://regional-rail.com/2026/01/16/regional-rail-expands-its-network-in-the-midwest-via-the-acquisition-of-several-short-line-freight-railroads/,,,
smarte-carte-international-holdings-inc__owner-1__3i-infrastructure,99,"Smarte Carte International Holdings, Inc.",United States,1,3i Infrastructure,n.a.,2017,2017,,Active,announced,none,,Oct 2017 | Financing | 3i agreed to invest alongside management in Smarte Carte.,,https://smartecarte.com/about-us/our-story/ | https://www.3i.com/infrastructure/our-portfolio/smarte-carte/ | https://www.3i.com/media/news/2017/investment-in-smarte-carte/ | https://www.3i.com/media/news/2018/3i-backed-smarte-carte-acquires-aviation-mobility-and-closes-a-225-million-refinancing/,,,
jvr-energy-park__owner-1__acadia-infrastructure-capital,130,JVR Energy Park,United States,1,Acadia Infrastructure Capital,Preferred Equity,2025,2025,,Active,close,none,,"Dec 9, 2025 | Financing | BayWa r.e. closed $416 million of financing for JVR Energy Park. || Dec 9, 2025 | Financing | Acadia Infrastructure Capital invested preferred equity in JVR Energy Park alongside Wafra.",,https://us.baywa-re.com/en/projects/local-projects/jvr-energy-park | https://www.prnewswire.com/news-releases/baywa-re-secures-416m-funding-for-jvr-energy-park-expected-to-be-operational-in-fall-2026-302636735.html | https://us.baywa-re.com/en | https://www.sandiegocounty.gov/content/dam/sdc/pds/ceqa/JVR/PreBoard/Appendices/JVR%20FEIR%20Appendix%20B%20-%20Visual%20Resources%20Part%201%20of%202.pdf,,,
peregrine-energy-storage-project__owner-1__acadia-infrastructure-capital,160,Peregrine Energy Storage Project,United States,1,Acadia Infrastructure Capital,Preferred Equity,2025,2025,,Active,close,none,,"Feb 25, 2025 | Financing | Arevon completed a $258 million financing package for Peregrine that included a preferred-equity commitment structured and sourced by Acadia Infrastructure Capital.",,https://www.peregrineenergystorage.com/ | https://arevonenergy.com/news/releases/arevon-announces-258-million-of-financial-commitments-for-its-peregrine-energy-storage-project/ | https://arevonenergy.com/news/releases/arevon-commences-operations-at-its-200-megawatt-peregrine-energy-storage-project-in-san-diego/ | https://www.prnewswire.com/news-releases/arevon-commences-operations-at-its-200-megawatt-peregrine-energy-storage-project-in-san-diego-302491017.html,,,
project-soho__owner-1__acadia-infrastructure-capital,190,Project Soho,United States,1,Acadia Infrastructure Capital,Preferred Equity,2025,2025,,Active,close,none,,"Oct 7, 2025 | Financing | Greenflash closed debt financing, preferred equity, and a transferable tax-credit sale for Project Soho, with Acadia Infrastructure Capital investing preferred equity alongside Wafra.",,https://gfinfra.com/ | https://www.businesswire.com/news/home/20251007100315/en/Greenflash-Infrastructure-Closes-Innovative-Debt-Financing-Preferred-Equity-and-Sale-of-Tax-Credits-for-400MW-800MWh-ERCOT-Battery-Storage-Project | https://corporates.db.com/more/latest-news/deutsche-bank-supports-greenflash-infrastructure-on-its-400mw-800mwh-battery-storage-project-in-brazoria-county-texas | https://www.energy-storage.news/greenflash-infrastructure-secures-financing-for-texass-largest-standalone-bess/,,,
stillhouse-solar-project__owner-1__acadia-infrastructure-capital,219,Stillhouse Solar Project,United States,1,Acadia Infrastructure Capital,Preferred Equity,2024,2024,,Active,announced,none,,"Dec 3, 2024 | Financing | Matrix announced secured financing for the 210 MWac Stillhouse project, with Acadia Infrastructure Capital sourcing preferred equity.",,https://matrixrenewables.com/press-releases/matrix-renewables-announces-acquisition-of-stillhouse-solar-project-from-oci-solar-power/ | https://matrixrenewables.com/press-releases/matrix-renewables-secures-commitments-from-microsoft-and-mufg-led-lender-consortium-for-210mwac-solar-project-in-bell-county-texas/ | https://matrixrenewables.com/press-releases/matrix-renewables-and-solv-energy-celebrate-completion-of-stillhouse-solar-in-bell-county-texas/ | https://matrixrenewables.com/existing-projects/u-s/,,,
catalyze__owner-1__actis,249,Catalyze,United States,1,Actis,Actis Energy 5,2023,2023,,Active,announced,none,,Feb 2023 | Financing | Actis and EnCap announced a co-control investment in Catalyze targeting the build-out of roughly 600 MW of solar and storage capacity.,,https://catalyze.com/company/about-us/ | https://www.act.is/2023/02/28/actis-and-encap-invest-in-us-solar-platform-catalyze/ | https://catalyze.com/2024/05/15/catalyze-announces-transaction-to-support-community-distributed-generation-portfolio/ | https://catalyze.com/2026/01/26/catalyze-closes-100-mw-distributed-solar-tax-equity-financing-with-rbc/ | https://www.encapinvestments.com/about/energy-transition/portfolio/current/catalyze | https://www.encapinvestments.com/news/catalyze-acquires-permacity-advances-market-consolidation-strategy,,,
catalyze__owner-2__encap-investments,249,Catalyze,United States,2,EnCap Investments,EnCap Energy Transition,2019,2023,,Active,transactional_unspecified,none,secondary_owner_year_differs_from_display_year,2019 | Financing | EnCap made its initial investment in Catalyze.,,https://catalyze.com/company/about-us/ | https://www.act.is/2023/02/28/actis-and-encap-invest-in-us-solar-platform-catalyze/ | https://catalyze.com/2024/05/15/catalyze-announces-transaction-to-support-community-distributed-generation-portfolio/ | https://catalyze.com/2026/01/26/catalyze-closes-100-mw-distributed-solar-tax-equity-financing-with-rbc/ | https://www.encapinvestments.com/about/energy-transition/portfolio/current/catalyze | https://www.encapinvestments.com/news/catalyze-acquires-permacity-advances-market-consolidation-strategy,,,
terranova__owner-1__actis,283,TERRANOVA,Mexico,1,Actis,Actis Digital Infrastructure,2025,2025,,Active,announced,none,,Dec 2025 | Financing | Actis launched TERRANOVA with a stated $1.5 billion investment commitment.,,https://dcterranova.com/ | https://www.act.is/2025/12/02/actis-launches-new-latin-american-hyperscale-data-center-platform-terranova-to-accelerate-latin-americas-digital-expansion/ | https://www.datacenterdynamics.com/en/news/terranova-launches-in-mexico-with-its-first-data-center-campus/ | https://dcterranova.com/en/blog/terranova-do-fundo-actis-entra-no-setor-de-data-centers-de-hiperescala,,,
valia-energ-a__owner-1__actis,313,Valia Energía,Mexico,1,Actis,Actis Energy 5,2022,2022,,Active,close,none,,Nov 2022 | Acquisition | Actis completed the acquisition of MT Falcon and launched Valia Energía.,,https://valiaenergia.com/en/ | https://www.act.is/about-us/portfolio/valia-energia/ | https://valiaenergia.com/wp-content/uploads/2023/10/Valia-Energia-Press-Release-ENGLISH-VF.pdf | https://www.milbank.com/en/news/milbank-advises-valia-energia-on-dollar530m-project-bond-financing-to-expand-footprint-in-mexican-energy-market.html,,,
alpha-generation-llc__owner-1__adia-infrastructure,344,"Alpha Generation, LLC",United States,1,ADIA Infrastructure,n.a.,2025,2025,,Active,announced,none,,Jan 2025 | Financing | ADIA agreed a $500 million minority investment in AlphaGen. || Oct 2025 | Financing | CPP Investments announced a $1.0 billion investment in AlphaGen.,,https://www.alphagen.com/about-us/ | https://www.alphagen.com/portfolio/ | https://www.alphagen.com/newsroom/press-releases/arclight-creates-alphagen-to-manage-one-of-the-largest-power-infrastructure-portfolios-in-the-united-states/ | https://www.prnewswire.com/news-releases/arclight-announces-500mm-investment-by-a-wholly-owned-subsidiary-of-adia-in-11-gw-alphagen-power-infrastructure-platform-302348464.html,,,
arevon-energy-inc__owner-1__adia-infrastructure,375,"Arevon Energy, Inc.",United States,1,ADIA Infrastructure,n.a.,2021,2021,,Active,announced,none,,"Aug 2021 | Financing | APG, CalSTRS, and ADIA-backed investors were announced as the owners of the new platform. || Aug 2021 | Financing | Arevon Energy was formed from Capital Dynamics' U.S. clean energy infrastructure team and Arevon Asset Management.",,https://arevonenergy.com/about/ | https://www.prnewswire.com/news-releases/arevon-energy-inc-formed-through-combination-of-capital-dynamics-us-clean-energy-infrastructure-team-members-and-arevon-asset-management-301356809.html | https://www.prnewswire.com/news-releases/arevon-energy-inc-formed-through-combination-of-capital-dynamics-us-clean-energy-infrastructure-team-members-and-arevon-asset-management-301356809.html | https://arevonenergy.com/news/releases/arevon-surpasses-10-billion-in-operating-assets-expanding-its-american-energy-portfolio/ | https://www.calstrs.com/files/438447b83/calstrs-investment-case-study-arevon-energy.pdf,,,
arevon-energy-inc__owner-2__apg-infrastructure,375,"Arevon Energy, Inc.",United States,2,APG Infrastructure,"Clean Energy Infrastructure JV (APG, CalSTRS, ADIA)",2021,2021,,Active,announced,none,,"Aug 2021 | Financing | APG, CalSTRS, and ADIA-backed investors were announced as the owners of the new platform. || Aug 2021 | Financing | Arevon Energy was formed from Capital Dynamics' U.S. clean energy infrastructure team and Arevon Asset Management.",,https://arevonenergy.com/about/ | https://www.prnewswire.com/news-releases/arevon-energy-inc-formed-through-combination-of-capital-dynamics-us-clean-energy-infrastructure-team-members-and-arevon-asset-management-301356809.html | https://www.prnewswire.com/news-releases/arevon-energy-inc-formed-through-combination-of-capital-dynamics-us-clean-energy-infrastructure-team-members-and-arevon-asset-management-301356809.html | https://arevonenergy.com/news/releases/arevon-surpasses-10-billion-in-operating-assets-expanding-its-american-energy-portfolio/ | https://www.calstrs.com/files/438447b83/calstrs-investment-case-study-arevon-energy.pdf,,,
