"bucket","company","country","investmentFirm","oldOwnerInvestmentYear","newOwnerInvestmentYear","oldTopLevelInvestmentYear","newTopLevelInvestmentYear"
"changed_to_na","Twin Parking Holdings","United States","Astatine Investment Partners","2024","N/A","2024","N/A"
"changed_to_na","Trenton Biogas","United States","Equilibrium","2017","N/A","2017","N/A"
"changed_to_na","EnviraPAC Monticello","United States","Generate Capital","2024","N/A","2024","N/A"
"changed_to_na","Palmetto","United States","I Squared Capital","2023","N/A","2023","N/A"
"changed_to_na","Supervía Poniente","Mexico","Macquarie Asset Management","2025","N/A","2025","N/A"
"changed_to_na","Back Bay Solar, LLC","United States","Manulife","2026","N/A","2026","N/A"
"changed_to_na","Rocky Mountain Midstream","United States","Manulife","2020","N/A","2020","N/A"
"changed_to_na","Ecosave","United States","Ridgewood","2024","N/A","2024","N/A"
"changed_to_na","Flamingo Crossings Village","United States","Swiss Life","2024","N/A","2024","N/A"
"changed_to_na","Homer","United States","Vision Ridge","2021","N/A","2021","N/A"
"corrected_or_normalized","ACES Delta","United States","AIMCo","2022,N/A","2022,2022","2022","2022"
"corrected_or_normalized","AES Clean Energy","United States","AIMCo","2026,N/A","2020","2021","2020"
"corrected_or_normalized","Boldyn Networks","United States / Canada","AIMCo","2024,N/A","2024","2021","2024"
"corrected_or_normalized","Cando Rail & Terminals","Canada","AIMCo","2026","2022","2026","2022"
"corrected_or_normalized","Howard Energy Partners","United States / Mexico","AIMCo","2022","2017","2022","2017"
"corrected_or_normalized","Euryalus Solar Portfolio","United States","Amber Infrastructure","2023","2020","2023","2020"
"corrected_or_normalized","Granite Solar Portfolio","United States","Amber Infrastructure","2023","2020","2023","2020"
"corrected_or_normalized","Heelstone Solar Portfolio","United States","Amber Infrastructure","2023","2020","2023","2020"
"corrected_or_normalized","Maine International Cold Storage Facility","United States","Amber Infrastructure","2021","2022","2021","2022"
"corrected_or_normalized","Milford Solar Project","United States","Amber Infrastructure","2023","2019","2023","2019"
"corrected_or_normalized","Olympos Solar Portfolio","United States","Amber Infrastructure","2023","2019","2023","2019"
"corrected_or_normalized","Origis Energy","United States","Antin Infrastructure Partners","2025","2021","2025","2025"
"corrected_or_normalized","North Tarrant Express","United States","APG Infrastructure","2009","2017","2009","2017"
"corrected_or_normalized","SiFi Networks America Limited","United States","APG Infrastructure","2019","2021","2019","2021"
"corrected_or_normalized","Unison Site Management","United States","Ardian","2017","2021","2017","2021"
"corrected_or_normalized","Thule Energy Storage","United States","Argo Infrastructure Partners","2020","2018","2020","2018"
"corrected_or_normalized","Chesapeake toll road network","United States","AustralianSuper","2020","2021","2020","2021"
"corrected_or_normalized","Aurora Solar Portfolio","Canada","Axium Infrastructure","2020","2019","2020","2019"
"corrected_or_normalized","Corix Infrastructure","United States / Canada","BCI","2012","2006","2012","2006"
"corrected_or_normalized","Puget Sound Energy","United States","BCI","2022","2009","2009","2022"
"corrected_or_normalized","CleanCapital Holdings, LLC","United States","BlackRock","2018","2019","2021","2021"
"corrected_or_normalized","Vanguard Renewables","United States","BlackRock","2024","2022","2026","2022"
"corrected_or_normalized","Hill Top Energy Center","United States","Blackstone","2026","2025","2026","2025"
"corrected_or_normalized","Kindle Energy","United States","Blackstone","2022","2015","2022","2015"
"corrected_or_normalized","MacLean Power Systems","United States","Blackstone","2025","2026","2025","2026"
"corrected_or_normalized","Magnolia Power Generating Station","United States","Blackstone","2026","2021","2026","2021"
"corrected_or_normalized","Tallgrass Energy","United States","Blackstone","2020","2019","2019","2019"
"corrected_or_normalized","TXNM Energy","United States","Blackstone","2026","2025","2026","2025"
"corrected_or_normalized","Beale Infrastructure","United States","Blue Owl","2026","2024","2026","2024"
"corrected_or_normalized","Dark Fiber and Infrastructure, LLC","United States","Blue Owl","2020","2025","2020","2025"
"corrected_or_normalized","Gigabit Fiber, LLC","United States","Blue Owl","2026","2025","2026","2025"
"corrected_or_normalized","South Reach Networks","United States","Blue Owl","2026","2025","2026","2025"
"corrected_or_normalized","STACK Infrastructure","United States / Canada","Blue Owl","2026","2025","2026","2025"
"corrected_or_normalized","Evolugen","Canada","Brookfield Asset Management","2019","1999","2019","1999"
"corrected_or_normalized","FirstEnergy Transmission, LLC","United States","Brookfield Asset Management","2024","2022","2022","2024"
"corrected_or_normalized","GATX / Wells Fargo Rail Joint Venture","United States / Canada","Brookfield Asset Management","2025","2026","2025","2026"
"corrected_or_normalized","Holtwood and Safe Harbor Hydroelectric Facilities","United States","Brookfield Asset Management","2016","2014","2016","2014"
"corrected_or_normalized","Luminace","United States / Canada","Brookfield Asset Management","2026","2021","2026","2021"
"corrected_or_normalized","NorthRiver Midstream Inc.","Canada","Brookfield Asset Management","2019","2018","2019","2018"
"corrected_or_normalized","NineDot Energy","United States","Carlyle Infrastructure","2024","2021","2024","2024"
"corrected_or_normalized","Armow Wind Farm","Canada","CC&L","2025","2024","2025","2024"
"corrected_or_normalized","Grand Renewable Wind Farm","Canada","CC&L","2025","2024","2025","2024"
"corrected_or_normalized","Quilt Block Wind Farm","United States","CC&L","2021","2020","2021","2020"
"corrected_or_normalized","Redbed Plains Wind Farm","United States","CC&L","2024","2020","2024","2020"
"corrected_or_normalized","White River Hydro Project","Canada","CC&L","2024","2019","2024","2019"
"corrected_or_normalized","Alto","Canada","CDPQ","2026","2025","2026","2025"
"corrected_or_normalized","DP World Canada","Canada","CDPQ","2016","2017","2016","2017"
"corrected_or_normalized","Enel Green Power Mexico","Mexico","CDPQ","2017","2018","2017","2018"
"corrected_or_normalized","InTransit BC","Canada","CDPQ","2021","2005","2005","2005"
"corrected_or_normalized","TramCité","Canada","CDPQ","2025","2024","2025","2024"
"corrected_or_normalized","400 Paul Avenue Data Center","United States","CIM Group","2020","2017","2020","2017"
"corrected_or_normalized","Novva Data Centers","United States","CIM Group","2022","2020","2022","2020"
"corrected_or_normalized","Westlands Solar Park (incl. Aquamarine Solar)","United States","CIM Group","2020","2014","2020","2014"
"corrected_or_normalized","Misae Solar Park","United States","Copenhagen Infrastructure Partners","2017","2018","2017","2018"
"corrected_or_normalized","Vineyard Northeast","United States","Copenhagen Infrastructure Partners","2018","2019","2018","2019"
"corrected_or_normalized","407 ETR","Canada","CPP Investments","2025","2010","2025","2010"
"corrected_or_normalized","Arco Norte","Mexico","CPP Investments","2018","2016","2016","2016"
"corrected_or_normalized","Golden State Wind","United States","CPP Investments","2022","2023","2022","2023"
"corrected_or_normalized","Impulsora del Desarrollo y el Empleo en América Latina, S.A.B. de C.V. (IDEAL)","Mexico","CPP Investments","2016","2020","2016","2020"
"corrected_or_normalized","Pacifico Sur","Mexico","CPP Investments","2020","2018","2018","2018"
"corrected_or_normalized","Ports America","United States","CPP Investments","2022","2014","2023","2014"
"corrected_or_normalized","Sempra Infrastructure Partners, LP","United States","CPP Investments","2026","2025","2026","2025"
"corrected_or_normalized","VoltaGrid","United States","CPP Investments","2020","2021","2020","2021"
"corrected_or_normalized","DataBank","United States","DigitalBridge","2025","2016","2024","2024"
"corrected_or_normalized","Atlantica Sustainable Infrastructure plc","North America","ECP","2024,N/A","2024,2024","2024","2024"
"corrected_or_normalized","Convergent Energy and Power","United States","ECP","2019,2026","2019,2019","2019","2019"
"corrected_or_normalized","Shenandoah Telecommunications Company","United States","ECP","2023","2024","2023","2024"
"corrected_or_normalized","USD Group LLC","North America","ECP","2025,2025","2014,2014","2014","2014"
"corrected_or_normalized","Aurora Sustainable Lands","United States","EIG Global Energy Partners","2022","2021","2022","2021"
"corrected_or_normalized","Brazos Midstream","United States","EnCap Investments","2026","2022","2018","2018"
"corrected_or_normalized","Cardinal Midstream Partners","United States","EnCap Investments","2026","2022","2026","2022"
"corrected_or_normalized","Clearfork Midstream","United States","EnCap Investments","2026","2022","2026","2022"
"corrected_or_normalized","Linea Energy","United States","EnCap Investments","2023","2022","2023","2022"
"corrected_or_normalized","Moda Midstream II","United States","EnCap Investments","2026","2023","2026","2023"
"corrected_or_normalized","SolarProponent","United States","EnCap Investments","2021","2020","2021","2020"
"corrected_or_normalized","Vecino Energy","United States","EnCap Investments","2026","2022","2026","2022"
"corrected_or_normalized","Crown Castle Small Cells Solutions","United States","EQT Infrastructure","2025","2026","2025","2026"
"corrected_or_normalized","Lazer Logistics","United States / Canada","EQT Infrastructure","2025","2023","2025","2023"
"corrected_or_normalized","Reworld","United States / Canada","EQT Infrastructure","2024","2021","2025","2025"
"corrected_or_normalized","Zayo Group Holdings, Inc.","United States / Canada","EQT Infrastructure","2019","2020","2020","2020"
"corrected_or_normalized","I-4 Mobility Partners","United States","Equitix","2026","2021","2026","2021"
"corrected_or_normalized","Oakland Corridor Partners","United States","Equitix","2024","2021","2024","2021"
"corrected_or_normalized","Amadeus Wind Project","United States","Fengate Asset Management","2026","2020","2026","2020"
"corrected_or_normalized","Edmonton Valley Line LRT Southeast","Canada","Fengate Asset Management","2026","2016","2026","2016"
"corrected_or_normalized","Freeport Power Limited","United States","Fengate Asset Management","2025,2025","2024,2024","2024","2024"
"corrected_or_normalized","Georgetown Inpatient Rehabilitation Facility","United States","Fengate Asset Management","2026","2024","2026","2024"
"corrected_or_normalized","JFK Terminal 6 Redevelopment","United States","Fengate Asset Management","2026","2020","2026","2020"
"corrected_or_normalized","Jim Pattison Outpatient Care and Surgery Centre","Canada","Fengate Asset Management","2026","2014","2026","2014"
