"changeId","action","requestedManager","canonicalManager","legacyId","baselineFundName","proposedFundName","confidence","vehicleType","lifecycle","northAmericaBasis","additionSizeGateBasis","additionSizeGateRationale","field","before","after","rationale","reviewReasons","evidenceUrls"
"ADD-001","CREATE","Antin Infrastructure Partners","Antin Infrastructure Partners","—","—","Antin Mid Cap Fund II","MEDIUM","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","NATIVE_EUR_GBP_BILLION_SCALE_INDICATION","€2.5B target; disclosed EUR amount is at least 1B (no USD conversion asserted)","managerName","—","Antin Infrastructure Partners","No repository row matches this actively raising second Mid Cap vintage, while the canonical Antin manager already exists in the repository universe.","CREATE | MEDIUM_CONFIDENCE","https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf | https://www.antin-ip.com/wp-content/uploads/2026/05/Antin-1Q26-Activity-Update-PR-VF.pdf | https://www.antin-ip.com/wp-content/uploads/2026/06/Antin-IP-SA-2025-URD.pdf | https://www.antin-ip.com/who-we-are/strategies/mid-cap | https://www.antin-ip.com/regulatory-disclosures"
"ADD-001","CREATE","Antin Infrastructure Partners","Antin Infrastructure Partners","—","—","Antin Mid Cap Fund II","MEDIUM","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","NATIVE_EUR_GBP_BILLION_SCALE_INDICATION","€2.5B target; disclosed EUR amount is at least 1B (no USD conversion asserted)","fundName","—","Antin Mid Cap Fund II","No repository row matches this actively raising second Mid Cap vintage, while the canonical Antin manager already exists in the repository universe.","CREATE | MEDIUM_CONFIDENCE","https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf | https://www.antin-ip.com/wp-content/uploads/2026/05/Antin-1Q26-Activity-Update-PR-VF.pdf | https://www.antin-ip.com/wp-content/uploads/2026/06/Antin-IP-SA-2025-URD.pdf | https://www.antin-ip.com/who-we-are/strategies/mid-cap | https://www.antin-ip.com/regulatory-disclosures"
"ADD-001","CREATE","Antin Infrastructure Partners","Antin Infrastructure Partners","—","—","Antin Mid Cap Fund II","MEDIUM","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","NATIVE_EUR_GBP_BILLION_SCALE_INDICATION","€2.5B target; disclosed EUR amount is at least 1B (no USD conversion asserted)","ticker","—","—","No repository row matches this actively raising second Mid Cap vintage, while the canonical Antin manager already exists in the repository universe.","CREATE | MEDIUM_CONFIDENCE","https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf | https://www.antin-ip.com/wp-content/uploads/2026/05/Antin-1Q26-Activity-Update-PR-VF.pdf | https://www.antin-ip.com/wp-content/uploads/2026/06/Antin-IP-SA-2025-URD.pdf | https://www.antin-ip.com/who-we-are/strategies/mid-cap | https://www.antin-ip.com/regulatory-disclosures"
"ADD-001","CREATE","Antin Infrastructure Partners","Antin Infrastructure Partners","—","—","Antin Mid Cap Fund II","MEDIUM","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","NATIVE_EUR_GBP_BILLION_SCALE_INDICATION","€2.5B target; disclosed EUR amount is at least 1B (no USD conversion asserted)","investmentStrategy","—","Second dedicated mid cap infrastructure fund pursuing Antin's established-company strategy across Europe and North America through smaller and medium-sized equity investments in energy and environment, digital, transportation, and social infrastructure.","No repository row matches this actively raising second Mid Cap vintage, while the canonical Antin manager already exists in the repository universe.","CREATE | MEDIUM_CONFIDENCE","https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf | https://www.antin-ip.com/wp-content/uploads/2026/05/Antin-1Q26-Activity-Update-PR-VF.pdf | https://www.antin-ip.com/wp-content/uploads/2026/06/Antin-IP-SA-2025-URD.pdf | https://www.antin-ip.com/who-we-are/strategies/mid-cap | https://www.antin-ip.com/regulatory-disclosures"
"ADD-001","CREATE","Antin Infrastructure Partners","Antin Infrastructure Partners","—","—","Antin Mid Cap Fund II","MEDIUM","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","NATIVE_EUR_GBP_BILLION_SCALE_INDICATION","€2.5B target; disclosed EUR amount is at least 1B (no USD conversion asserted)","size","—","€2.5B target","No repository row matches this actively raising second Mid Cap vintage, while the canonical Antin manager already exists in the repository universe.","CREATE | MEDIUM_CONFIDENCE","https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf | https://www.antin-ip.com/wp-content/uploads/2026/05/Antin-1Q26-Activity-Update-PR-VF.pdf | https://www.antin-ip.com/wp-content/uploads/2026/06/Antin-IP-SA-2025-URD.pdf | https://www.antin-ip.com/who-we-are/strategies/mid-cap | https://www.antin-ip.com/regulatory-disclosures"
"ADD-001","CREATE","Antin Infrastructure Partners","Antin Infrastructure Partners","—","—","Antin Mid Cap Fund II","MEDIUM","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","NATIVE_EUR_GBP_BILLION_SCALE_INDICATION","€2.5B target; disclosed EUR amount is at least 1B (no USD conversion asserted)","sizeUsdMm","—","—","No repository row matches this actively raising second Mid Cap vintage, while the canonical Antin manager already exists in the repository universe.","CREATE | MEDIUM_CONFIDENCE","https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf | https://www.antin-ip.com/wp-content/uploads/2026/05/Antin-1Q26-Activity-Update-PR-VF.pdf | https://www.antin-ip.com/wp-content/uploads/2026/06/Antin-IP-SA-2025-URD.pdf | https://www.antin-ip.com/who-we-are/strategies/mid-cap | https://www.antin-ip.com/regulatory-disclosures"
"ADD-001","CREATE","Antin Infrastructure Partners","Antin Infrastructure Partners","—","—","Antin Mid Cap Fund II","MEDIUM","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","NATIVE_EUR_GBP_BILLION_SCALE_INDICATION","€2.5B target; disclosed EUR amount is at least 1B (no USD conversion asserted)","sizeNativeCurrency","—","EUR","No repository row matches this actively raising second Mid Cap vintage, while the canonical Antin manager already exists in the repository universe.","CREATE | MEDIUM_CONFIDENCE","https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf | https://www.antin-ip.com/wp-content/uploads/2026/05/Antin-1Q26-Activity-Update-PR-VF.pdf | https://www.antin-ip.com/wp-content/uploads/2026/06/Antin-IP-SA-2025-URD.pdf | https://www.antin-ip.com/who-we-are/strategies/mid-cap | https://www.antin-ip.com/regulatory-disclosures"
"ADD-001","CREATE","Antin Infrastructure Partners","Antin Infrastructure Partners","—","—","Antin Mid Cap Fund II","MEDIUM","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","NATIVE_EUR_GBP_BILLION_SCALE_INDICATION","€2.5B target; disclosed EUR amount is at least 1B (no USD conversion asserted)","sizeNativeAmount","—","2500000000","No repository row matches this actively raising second Mid Cap vintage, while the canonical Antin manager already exists in the repository universe.","CREATE | MEDIUM_CONFIDENCE","https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf | https://www.antin-ip.com/wp-content/uploads/2026/05/Antin-1Q26-Activity-Update-PR-VF.pdf | https://www.antin-ip.com/wp-content/uploads/2026/06/Antin-IP-SA-2025-URD.pdf | https://www.antin-ip.com/who-we-are/strategies/mid-cap | https://www.antin-ip.com/regulatory-disclosures"
"ADD-001","CREATE","Antin Infrastructure Partners","Antin Infrastructure Partners","—","—","Antin Mid Cap Fund II","MEDIUM","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","NATIVE_EUR_GBP_BILLION_SCALE_INDICATION","€2.5B target; disclosed EUR amount is at least 1B (no USD conversion asserted)","sizeBasis","—","TARGET","No repository row matches this actively raising second Mid Cap vintage, while the canonical Antin manager already exists in the repository universe.","CREATE | MEDIUM_CONFIDENCE","https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf | https://www.antin-ip.com/wp-content/uploads/2026/05/Antin-1Q26-Activity-Update-PR-VF.pdf | https://www.antin-ip.com/wp-content/uploads/2026/06/Antin-IP-SA-2025-URD.pdf | https://www.antin-ip.com/who-we-are/strategies/mid-cap | https://www.antin-ip.com/regulatory-disclosures"
"ADD-001","CREATE","Antin Infrastructure Partners","Antin Infrastructure Partners","—","—","Antin Mid Cap Fund II","MEDIUM","NAMED_FUND","RAISING","EXPLICIT_NA_MANDATE","NATIVE_EUR_GBP_BILLION_SCALE_INDICATION","€2.5B target; disclosed EUR amount is at least 1B (no USD conversion asserted)","sizeAsOf","—","2026-03-12","No repository row matches this actively raising second Mid Cap vintage, while the canonical Antin manager already exists in the repository universe.","CREATE | MEDIUM_CONFIDENCE","https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf | https://www.antin-ip.com/wp-content/uploads/2026/05/Antin-1Q26-Activity-Update-PR-VF.pdf | https://www.antin-ip.com/wp-content/uploads/2026/06/Antin-IP-SA-2025-URD.pdf | https://www.antin-ip.com/who-we-are/strategies/mid-cap | https://www.antin-ip.com/regulatory-disclosures"
