company_name,country,current_owner_investment_firm,current_ownership_vehicle,investment_year,verified_fund_vehicle_result,result_status,evidence_urls,evidence_type,confidence,proposed_seed_data_action,notes
Amwaste LLC,United States,3i Infrastructure,3i North American Infrastructure Fund,2023,3i North American Infrastructure Fund,Verified fund - missing from funds list,https://www.wastedive.com/news/amwaste-chip-russell-3i-north-american-infrastructure-investment/690067/; https://www.3i.com/infrastructure/our-portfolio/amwaste/; https://www.wastetodaymagazine.com/news/amwaste-acquires-waste-away-environmental/; https://amwasteusa.com,manager/company ownership source; transaction source; supplemental source; manager page,High,"Review adding or aliasing ""3i North American Infrastructure Fund"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: 3i Group | Fund: 3i North American Infrastructure Fund | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
EC Waste,United States,3i Infrastructure,3i North American Infrastructure Fund,2021,3i North American Infrastructure Fund,Verified fund - missing from funds list,https://www.3i.com/media/news/2021/3i-partners-with-ec-waste-to-support-the-company-s-growth/; https://www.3i.com/media/news/2025/3i-backed-ec-waste-acquires-arb-waste-services-in-puerto-rico/; https://www.ecwaste.com; https://www.3i.com/portfolio/ec-waste/; https://www.postcp.com/article?ID=528966,manager/company ownership source; transaction source; company/manager page; supplemental source; manager page,High,"Review adding or aliasing ""3i North American Infrastructure Fund"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: 3i Group | Fund: 3i North American Infrastructure Fund | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
"Regional Rail, LLC",United States,3i Infrastructure,3i North American Infrastructure Fund,2019,3i North American Infrastructure Fund,Verified fund - missing from funds list,https://www.3i.com/media/news/2019/3i-agrees-to-invest-in-regional-rail-to-support-growth/; https://www.3i.com/media/news/2019/regional-rail-expands-its-geographic-footprint-through-acquisition-of-pinsly-railroad-company-s-florida-operations/; https://regional-rail.com/2026/01/16/regional-rail-expands-its-network-in-the-midwest-via-the-acquisition-of-several-short-line-freight-railroads/; https://regional-rail.com/; https://www.3i.com/infrastructure/our-portfolio/regional-rail/,press release; manager/company ownership source; transaction source; supplemental source; manager page,High,"Review adding or aliasing ""3i North American Infrastructure Fund"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: 3i Group | Fund: 3i North American Infrastructure Fund | Ownership Interest: 100% Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
"Smarte Carte International Holdings, Inc.",United States,3i Infrastructure,n.a.,2017,n.a.,n.a.,https://www.3i.com/media/news/2017/investment-in-smarte-carte/; https://www.3i.com/media/news/2018/3i-backed-smarte-carte-acquires-aviation-mobility-and-closes-a-225-million-refinancing/; https://smartecarte.com/about-us/our-story/; https://www.3i.com/infrastructure/our-portfolio/smarte-carte/,press release; financing/filing source; company/manager page; supplemental source; manager page,High,No seed-data action suggested.,Matched supplemental ownership detail: Firm: 3i Group | Fund: Not publicly disclosed. | Ownership Interest: Not publicly disclosed. Supplemental detail states the fund was not publicly disclosed.
JVR Energy Park,United States,Acadia Infrastructure Capital,Preferred Equity,2025,Preferred Equity,Disclosed but generic,https://www.prnewswire.com/news-releases/baywa-re-secures-416m-funding-for-jvr-energy-park-expected-to-be-operational-in-fall-2026-302636735.html; https://us.baywa-re.com/en/projects/local-projects/jvr-energy-park; https://us.baywa-re.com/en,press release; supporting source,Medium,Keep generic disclosure only if preferred; otherwise review whether n.a. is cleaner.,"Disclosure identifies a generic vehicle, account, client pool, or transaction structure rather than an exact fund."
Peregrine Energy Storage Project,United States,Acadia Infrastructure Capital,Preferred Equity,2025,Preferred Equity,Disclosed but generic,https://arevonenergy.com/news/releases/arevon-announces-258-million-of-financial-commitments-for-its-peregrine-energy-storage-project/; https://www.peregrineenergystorage.com/; https://www.prnewswire.com/news-releases/arevon-commences-operations-at-its-200-megawatt-peregrine-energy-storage-project-in-san-diego-302491017.html,manager/company ownership source; company/manager page; press release,Medium,Keep generic disclosure only if preferred; otherwise review whether n.a. is cleaner.,"Disclosure identifies a generic vehicle, account, client pool, or transaction structure rather than an exact fund."
Project Soho,United States,Acadia Infrastructure Capital,Preferred Equity,2025,Preferred Equity,Disclosed but generic,https://www.businesswire.com/news/home/20251007100315/en/Greenflash-Infrastructure-Closes-Innovative-Debt-Financing-Preferred-Equity-and-Sale-of-Tax-Credits-for-400MW-800MWh-ERCOT-Battery-Storage-Project; https://www.energy-storage.news/greenflash-infrastructure-secures-financing-for-texass-largest-standalone-bess/; https://gfinfra.com/,press release; financing/filing source; company/manager page,Medium,Keep generic disclosure only if preferred; otherwise review whether n.a. is cleaner.,"Disclosure identifies a generic vehicle, account, client pool, or transaction structure rather than an exact fund."
Stillhouse Solar Project,United States,Acadia Infrastructure Capital,Preferred Equity,2024,Preferred Equity,Disclosed but generic,https://matrixrenewables.com/press-releases/matrix-renewables-secures-commitments-from-microsoft-and-mufg-led-lender-consortium-for-210mwac-solar-project-in-bell-county-texas/; https://matrixrenewables.com/press-releases/matrix-renewables-announces-acquisition-of-stillhouse-solar-project-from-oci-solar-power/; https://matrixrenewables.com/existing-projects/u-s/,press release; transaction source; supporting source,Medium,Keep generic disclosure only if preferred; otherwise review whether n.a. is cleaner.,"Disclosure identifies a generic vehicle, account, client pool, or transaction structure rather than an exact fund."
Catalyze,United States,Actis,Actis Energy 5,2023,Actis Energy 5,Verified fund - missing from funds list,https://www.act.is/2023/02/28/actis-and-encap-invest-in-us-solar-platform-catalyze/; https://www.encapinvestments.com/about/energy-transition/portfolio/current/catalyze; https://catalyze.com/2026/01/26/catalyze-closes-100-mw-distributed-solar-tax-equity-financing-with-rbc/; https://catalyze.com/company/about-us/; https://catalyze.com/2024/05/15/catalyze-announces-transaction-to-support-community-distributed-generation-portfolio/,press release; manager/company ownership source; financing/filing source; supplemental source; manager page,High,"Review adding or aliasing ""Actis Energy 5"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: Actis | Fund: Actis Energy 5 | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Catalyze,United States,EnCap Investments,EnCap Energy Transition,2019,EnCap Energy Transition,Verified fund - missing from funds list,https://www.act.is/2023/02/28/actis-and-encap-invest-in-us-solar-platform-catalyze/; https://www.encapinvestments.com/about/energy-transition/portfolio/current/catalyze; https://www.encapinvestments.com/news/catalyze-acquires-permacity-advances-market-consolidation-strategy; https://catalyze.com/; https://www.encapinvestments.com/news/catalyze-announces-acquisition-sol-alliance-expanding-development-capabilities-and-project,press release; manager/company ownership source; transaction source; supplemental source,High,"Review adding or aliasing ""EnCap Energy Transition"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: EnCap Investments | Fund: EnCap Energy Transition | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
TERRANOVA,Mexico,Actis,Actis Digital Infrastructure,2025,Actis Digital Infrastructure,Verified fund - missing from funds list,https://www.act.is/2025/12/02/actis-launches-new-latin-american-hyperscale-data-center-platform-terranova-to-accelerate-latin-americas-digital-expansion/; https://dcterranova.com/; https://dcterranova.com/en/blog/terranova-do-fundo-actis-entra-no-setor-de-data-centers-de-hiperescala; https://www.datacenterdynamics.com/en/news/terranova-launches-in-mexico-with-its-first-data-center-campus/,press release; company/manager page; supporting source; supplemental source; manager page,High,"Review adding or aliasing ""Actis Digital Infrastructure"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: Actis | Fund: Actis Digital Infrastructure | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
Valia Energía,Mexico,Actis,Actis Energy 5,2022,Actis Energy 5,Verified fund - missing from funds list,https://www.act.is/about-us/portfolio/valia-energia/; https://www.milbank.com/en/news/milbank-advises-valia-energia-on-dollar530m-project-bond-financing-to-expand-footprint-in-mexican-energy-market.html; https://valiaenergia.com/en/; https://valiaenergia.com/wp-content/uploads/2023/10/Valia-Energia-Press-Release-ENGLISH-VF.pdf,manager/company ownership source; financing/filing source; supporting source; supplemental source,High,"Review adding or aliasing ""Actis Energy 5"" in fund data before updating ownershipVehicle.",Matched supplemental ownership detail: Firm: Actis | Fund: Actis Energy 5 | Ownership Interest: Not publicly disclosed. Supplemental ownership detail discloses a distinct fund/vehicle that does not match funds.ts.
