runId,proposalHash,action,legacyId,managerName,fundName,field,before,after,confidence,evidenceUrls
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-013,Apollo Global Management,Apollo Clean Transition Equity Partners II,(verification),null,null,MEDIUM,https://www.sec.gov/Archives/edgar/data/2002112/000095014224002977/xslFormDX01/primary_doc.xml
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-016,Ara Partners,Ara Energy Decarbonization Fund I,(verification),null,null,MEDIUM,https://www.arapartners.com/what-we-do/strategies/energy/
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-022,Ares Management,Ares Climate Infrastructure Partners II,(verification),null,null,MEDIUM,https://www.sec.gov/Archives/edgar/data/1970645/000092963824004318/xslFormDX01/primary_doc.xml
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-029,Basalt Infrastructure Partners,Basalt BIP V,(verification),null,null,MEDIUM,https://find-and-update.company-information.service.gov.uk/company/LP024280
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-035,BlackRock (GIP),GIP Mid-Market Fund V,(verification),null,null,MEDIUM,https://www.sec.gov/Archives/edgar/data/2077639/000207763925000001/xslFormDX01/primary_doc.xml
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-037,BlackRock (GIP),GIP Transition Fund,(verification),null,null,MEDIUM,https://www.sec.gov/Archives/edgar/data/2087294/000208729425000001/xslFormDX01/primary_doc.xml
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-038,BlackRock (GIP),Global AI Infrastructure Investment Partnership (GAIIP),(verification),null,null,MEDIUM,https://www.blackrock.com/corporate/newsroom/press-releases/article/corporate-one/press-releases/blackrock-global-infrastructure-partners-microsoft-and-mgx-launch-new-ai
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-042,Blackstone,Blackstone Energy Transition Partners V (BETP V),(verification),null,null,MEDIUM,https://www.sec.gov/Archives/edgar/data/2112720/000211272026000001/xslFormDX01/primary_doc.xml
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-044,Brookfield,Brookfield Artificial Intelligence Infrastructure Fund (BAIIF),(verification),null,null,MEDIUM,https://bam.brookfield.com/press-releases/brookfield-launches-100-billion-ai-infrastructure-program
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-052,Carlyle Group,Carlyle CGI Fund II,(verification),null,null,MEDIUM,https://www.sec.gov/Archives/edgar/data/2075288/000207528825000001/xslFormDX01/primary_doc.xml
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-061,CVC DIF,DIF Infrastructure VIII,(verification),null,null,MEDIUM,https://nj.gov/njbonds/treasury/doinvest/pdf/AlternativeInvestments/RealAsset/DIF_Infrastructure_VIII_SCSp.pdf; https://www.cvc.com/media/news/2026/full-year-2025-activity-update/; https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2025/2025-58%20pserb%20resolution%20dif%20infrastructure%20fund%20viii%20scsp.pdf
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-062,CVC DIF,CVC DIF Value-Add IV,(verification),null,null,MEDIUM,https://www.cvc.com/media/news/2026/full-year-2025-activity-update/
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-067,Energy Capital Partners,ECP Fund VI,(verification),null,null,MEDIUM,https://www.ecpgp.com/about/; https://www.ecpgp.com/site-services/legal-regulatory-and-other-disclosures/sfdr
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-069,Energy Infrastructure Partners,EIP III,(verification),null,null,MEDIUM,https://energy-infrastructure-partners.com/products/
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-074,EQT Infrastructure,EQT Transition Infrastructure,(verification),null,null,MEDIUM,https://eqtgroup.com/infrastructure/eqt-transition-infrastructure; https://eqtgroup.com/news/eqt-introduces-the-eqt-transition-infrastructure-strategy-with-the-acquisition-of-energy-storage-system-developer-and-operator-ju-niz-energy
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-084,Grain Management,Grain GCOF IV,(verification),null,null,MEDIUM,https://www.sec.gov/Archives/edgar/data/1984790/000095014224001965/xslFormDX01/primary_doc.xml
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-088,Goldman Sachs Asset Management,GS WSIP V,(verification),null,null,MEDIUM,https://www.sec.gov/Archives/edgar/data/2081965/000208196525000001/xslFormDX01/primary_doc.xml
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-091,Harbert Management Corporation,Harbert HIF VII,(verification),null,null,MEDIUM,https://www.sec.gov/Archives/edgar/data/2080982/000208098225000001/xslFormDX01/primary_doc.xml
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-094,I Squared Capital,ISQ Global Infrastructure Fund IV,(verification),null,null,MEDIUM,https://www.pa.gov/content/dam/copapwp-pagov/en/psers/documents/board3/resolutions/2025/2025.21%20pserb%20resolution%20i%20squared%20global%20infrastructure%20fund%20iv.pdf; https://www.sec.gov/Archives/edgar/data/2049770/000204977025000002/xslFormDX01/primary_doc.xml
2026-08-03-lineage-production-v2,161c1a51044fe6a7e4f7f342b273709bf195dbbb9d61bc95322b7bcf824d8693,VERIFY_NO_CHANGE,FUND-095,iCON Infrastructure,iCON Infrastructure Fund VII,(verification),null,null,MEDIUM,https://www.iconinfrastructure.com/
